w_kalori,w_lauk,w_karbo,w_deskripsi,precision,recall,f1_score
0.3,0.25,0.2,0.25,0.6944444444444444,0.7011111111111111,0.6883597883597885
0.25,0.25,0.25,0.25,0.6944444444444444,0.7011111111111111,0.6883597883597885
0.25,0.3,0.2,0.25,0.6944444444444444,0.7011111111111111,0.6883597883597885
0.3,0.2,0.25,0.25,0.6944444444444444,0.7011111111111111,0.6883597883597885
0.35,0.2,0.2,0.25,0.6944444444444444,0.7011111111111111,0.6883597883597885
0.25,0.35,0.15,0.25,0.7044444444444443,0.6877777777777777,0.6853968253968256
0.4,0.2,0.15,0.2499999999999999,0.691111111111111,0.6877777777777777,0.6794708994708996
0.3,0.3,0.15,0.25,0.691111111111111,0.6877777777777777,0.6794708994708996
0.35,0.25,0.15,0.25,0.691111111111111,0.6877777777777777,0.6794708994708996
0.45,0.25,0.15,0.15000000000000002,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.4,0.25,0.2,0.1499999999999999,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.45,0.2,0.2,0.1499999999999999,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.35,0.25,0.2,0.19999999999999996,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.4,0.2,0.2,0.19999999999999996,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.3,0.3,0.2,0.19999999999999996,0.6777777777777777,0.6877777777777777,0.6735449735449736
0.45,0.2,0.15,0.19999999999999996,0.6744444444444444,0.6744444444444445,0.6646560846560846
0.35,0.3,0.15,0.20000000000000007,0.6744444444444444,0.6744444444444445,0.6646560846560846
0.4,0.25,0.15,0.19999999999999996,0.6744444444444444,0.6744444444444445,0.6646560846560846
0.25,0.25,0.2,0.30000000000000004,0.6744444444444444,0.6744444444444445,0.6646560846560846
0.3,0.25,0.25,0.19999999999999996,0.6644444444444445,0.6744444444444445,0.6602116402116402
0.35,0.2,0.25,0.19999999999999996,0.6644444444444445,0.6744444444444445,0.6602116402116402
0.25,0.2,0.25,0.30000000000000004,0.6644444444444443,0.6744444444444445,0.6602116402116402
0.25,0.3,0.25,0.19999999999999996,0.6644444444444445,0.6744444444444445,0.6602116402116402
0.4,0.2,0.25,0.1499999999999999,0.6577777777777778,0.6744444444444445,0.6565079365079366
0.35,0.25,0.25,0.15000000000000002,0.6577777777777778,0.6744444444444445,0.6565079365079366
0.3,0.25,0.15,0.29999999999999993,0.6677777777777777,0.6577777777777778,0.6535449735449734
0.25,0.3,0.15,0.29999999999999993,0.6677777777777777,0.6577777777777778,0.6535449735449734
0.25,0.25,0.15,0.35,0.6677777777777777,0.6577777777777778,0.6535449735449734
0.3,0.2,0.2,0.30000000000000004,0.6577777777777777,0.6611111111111112,0.6498412698412698
0.25,0.2,0.2,0.35,0.6577777777777777,0.6611111111111112,0.6498412698412698
0.25,0.35,0.2,0.19999999999999996,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.4,0.3,0.2,0.10000000000000009,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.35,0.3,0.2,0.15000000000000013,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.4,0.3,0.15,0.15000000000000002,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.35,0.35,0.15,0.15000000000000002,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.35,0.35,0.2,0.10000000000000009,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.3,0.35,0.2,0.15000000000000013,0.6633333333333333,0.6544444444444444,0.6483597883597885
0.25,0.35,0.25,0.15000000000000002,0.6566666666666666,0.6544444444444444,0.6446560846560847
0.45,0.25,0.2,0.10000000000000009,0.65,0.6544444444444444,0.6424338624338624
0.3,0.35,0.25,0.10000000000000009,0.6533333333333332,0.6544444444444444,0.6414814814814815
0.3,0.35,0.15,0.20000000000000007,0.6599999999999999,0.6411111111111112,0.6394708994708994
0.35,0.2,0.15,0.29999999999999993,0.6511111111111111,0.6444444444444445,0.6387301587301587
0.3,0.2,0.15,0.35,0.6511111111111111,0.6444444444444445,0.6387301587301587
0.3,0.3,0.25,0.15000000000000002,0.6433333333333333,0.6411111111111112,0.6313227513227513
0.35,0.3,0.25,0.10000000000000009,0.64,0.6411111111111112,0.6281481481481481
