w_deskripsi,w_lauk,w_karbo,w_kalori,precision,recall,f1
0.35,0.3,0.25,0.1,0.8177777777777778,0.8000000000000002,0.8030687830687832
0.35,0.25,0.25,0.15,0.8044444444444444,0.8000000000000002,0.7971428571428573
0.4,0.2,0.25,0.15,0.8011111111111112,0.7866666666666667,0.7882539682539683
0.4,0.25,0.25,0.1,0.8011111111111112,0.7866666666666667,0.7882539682539683
0.4,0.3,0.25,0.05,0.8011111111111112,0.7733333333333334,0.7808465608465609
0.45,0.25,0.25,0.05,0.8011111111111112,0.7733333333333334,0.7808465608465609
0.45,0.2,0.25,0.1,0.7844444444444445,0.7733333333333334,0.7734391534391535
0.35,0.3,0.2,0.15,0.7877777777777778,0.76,0.7675132275132275
0.45,0.25,0.2,0.1,0.7744444444444445,0.76,0.7615873015873016
0.4,0.3,0.2,0.1,0.7744444444444445,0.76,0.7615873015873016
0.4,0.3,0.15,0.15,0.7744444444444445,0.76,0.7615873015873016
0.4,0.25,0.2,0.15,0.7744444444444445,0.76,0.7615873015873016
0.45,0.3,0.2,0.05,0.7744444444444445,0.7466666666666667,0.7541798941798942
0.5,0.25,0.2,0.05,0.7744444444444445,0.7466666666666667,0.7541798941798942
0.45,0.2,0.2,0.15,0.7577777777777778,0.7466666666666667,0.7467724867724869
0.5,0.2,0.25,0.05,0.7544444444444445,0.7333333333333333,0.737883597883598
0.45,0.25,0.15,0.15,0.7388888888888889,0.7244444444444443,0.726031746031746
0.45,0.3,0.15,0.1,0.7388888888888889,0.7244444444444443,0.726031746031746
0.5,0.2,0.2,0.1,0.7411111111111112,0.7200000000000001,0.7245502645502646
0.55,0.2,0.2,0.05,0.7411111111111112,0.7200000000000001,0.7245502645502646
0.5,0.25,0.15,0.1,0.7388888888888889,0.711111111111111,0.7186243386243387
0.5,0.3,0.15,0.05,0.7388888888888889,0.711111111111111,0.7186243386243387
0.55,0.25,0.15,0.05,0.7388888888888889,0.711111111111111,0.7186243386243387
0.5,0.2,0.15,0.15,0.7088888888888889,0.6977777777777778,0.6978835978835979
0.55,0.2,0.15,0.1,0.7055555555555556,0.6844444444444444,0.688994708994709
