config_id,w_deskripsi,w_lauk,w_karbo,w_kalori,precision,recall,f1
1,0.2,0.5,0.2,0.1,0.7877777777777778,0.7744444444444445,0.7741269841269841
2,0.15,0.55,0.2,0.1,0.7744444444444445,0.7744444444444445,0.7682010582010582
4,0.1,0.6,0.2,0.1,0.7744444444444445,0.7744444444444445,0.7682010582010582
5,0.2,0.45,0.25,0.1,0.7744444444444445,0.7744444444444445,0.7682010582010582
6,0.15,0.5,0.25,0.1,0.7744444444444445,0.7744444444444445,0.7682010582010582
7,0.15,0.45,0.3,0.1,0.7744444444444445,0.7744444444444445,0.7682010582010582
8,0.15,0.55,0.25,0.05,0.7744444444444445,0.7744444444444445,0.7682010582010582
9,0.1,0.55,0.3,0.05,0.7744444444444445,0.7744444444444445,0.7682010582010582
3,0.15,0.55,0.15,0.15,0.7744444444444445,0.7611111111111111,0.7607936507936509
