user_id,precision,recall,f1,TP,FP,FN
1,0.59999999988,0.7499999998125,0.6666666660246914,3,2,1
2,0.79999999984,0.79999999984,0.79999999934,4,1,1
3,0.6666666664444444,0.499999999875,0.5714285707755102,2,1,2
4,0.7499999998125,0.7499999998125,0.7499999993124999,3,1,1
5,0.19999999996,0.19999999996,0.19999999946,1,4,4
6,0.99999999975,0.99999999975,0.9999999992499999,4,0,0
7,0.7499999998125,0.59999999988,0.6666666660246914,3,1,2
8,0.79999999984,0.79999999984,0.79999999934,4,1,1
9,0.6666666664444444,0.39999999992,0.49999999940624995,2,1,3
10,0.6666666664444444,0.9999999995,0.7999999992,2,1,0
11,0.59999999988,0.59999999988,0.5999999993799999,3,2,2
12,0.9999999998,0.9999999998,0.9999999992999999,5,0,0
13,0.79999999984,0.99999999975,0.8888888881975309,4,1,0
14,0.99999999975,0.79999999984,0.8888888881975309,4,0,1
15,0.499999999875,0.6666666664444444,0.5714285707755102,2,2,1
